filepath,source,source_group,class_name,label,is_plant,split,unknown_subtype,source_id
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/random_crop_pil_brightness_26.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00274_cfa6496cd06d.png,cifar10,cifar10::cfa6496cd06de4dd,Unclassified,6,0,train,animal,horse
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_constract_17.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00759_7fc4dd1ea60c.png,cifar10,cifar10::7fc4dd1ea60ccd68,Unclassified,6,0,train,animal,cat
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/rotate_zoompil_color_28.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00243_f479e4ba4928.png,cifar10,cifar10::f479e4ba4928461f,Unclassified,6,0,train,animal,deer
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00769_e8a4f1b544da.png,cifar10,cifar10::e8a4f1b544da7c31,Unclassified,6,0,train,animal,frog
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/pil_brightness_4.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00420_16e9c03d9b9a.png,cifar10,cifar10::16e9c03d9b9a0c07,Unclassified,6,0,train,object_vehicle,ship
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/rotate_zoom3.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/pil_sharpness_10.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00683_45d397dfa1f4.png,cifar10,cifar10::45d397dfa1f4989c,Unclassified,6,0,train,animal,deer
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00478_3ec1784d76a1.png,cifar10,cifar10::3ec1784d76a15d84,Unclassified,6,0,train,animal,deer
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00637_18b4fa9136fd.png,cifar10,cifar10::18b4fa9136fd4eb3,Unclassified,6,0,train,object_vehicle,ship
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/vertical_flippil_sharpness_5.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/pil_color_29.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_brightness_2.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/rotate_zoompil_sharpness_1.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/vertical_flippil_brightness_28.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/random_crop_8.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/pil_constract_18.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/8.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/pil_sharpness_38.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_constract_40.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/random_crop_pil_brightness_15.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/pil_constract_17.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00388_6ce73c745704.png,cifar10,cifar10::6ce73c745704aadc,Unclassified,6,0,train,animal,deer
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00640_b7f59825f12b.png,cifar10,cifar10::b7f59825f12b9089,Unclassified,6,0,train,object_vehicle,airplane
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00597_4253a1fede35.png,cifar10,cifar10::4253a1fede3549fb,Unclassified,6,0,train,object_vehicle,ship
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00522_c3b26d1252c2.png,cifar10,cifar10::c3b26d1252c22941,Unclassified,6,0,train,animal,bird
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/rotate_zoompil_sharpness_38.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/vertical_flippil_brightness_7.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/vertical_flippil_color_28.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/rotate_zoompil_brightness_20.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/random_crop_pil_color_35.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/vertical_flip7.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_sharpness_13.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/rotate_zoompil_color_36.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00390_80119c11ea07.png,cifar10,cifar10::80119c11ea079779,Unclassified,6,0,train,object_vehicle,ship
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/pil_sharpness_8.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/random_crop_pil_brightness_31.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/rotate_zoompil_brightness_30.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/25.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/vertical_flippil_brightness_16.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/vertical_flip13.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/rotate_zoompil_sharpness_24.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/random_crop_pil_constract_4.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/random_crop_pil_sharpness_29.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/random_crop_pil_brightness_12.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/random_crop_pil_sharpness_3.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/random_crop_pil_sharpness_31.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/random_crop_pil_sharpness_33.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/pil_sharpness_15.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_brightness_1.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/vertical_flip22.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/random_crop_38.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/pil_sharpness_25.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/rotate_zoompil_constract_8.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/vertical_flippil_color_16.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/vertical_flippil_sharpness_13.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/random_crop_pil_color_39.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/random_crop_pil_brightness_40.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00319_97c13819e289.png,cifar10,cifar10::97c13819e289f031,Unclassified,6,0,train,animal,deer
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/vertical_flip18.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00460_3e4ce0663a8f.png,cifar10,cifar10::3e4ce0663a8f41d2,Unclassified,6,0,train,object_vehicle,automobile
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/vertical_flip39.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/vertical_flippil_brightness_15.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/vertical_flippil_constract_6.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00593_9816c866a8ee.png,cifar10,cifar10::9816c866a8ee88e1,Unclassified,6,0,train,object_vehicle,truck
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/pil_constract_9.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/random_crop_pil_color_26.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/pil_brightness_10.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/vertical_flippil_color_18.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/rotate_zoompil_color_8.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/vertical_flip31.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/random_crop_1.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/rotate_zoompil_brightness_16.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/rotate_zoompil_color_35.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/vertical_flippil_constract_17.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_color_19.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_35.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/pil_sharpness_5.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/vertical_flippil_color_3.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00248_de015ebcc463.png,cifar10,cifar10::de015ebcc4631854,Unclassified,6,0,train,animal,horse
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/vertical_flip9.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/vertical_flip29.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/pil_sharpness_8.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00101_55bd461b9af7.png,cifar10,cifar10::55bd461b9af7b78f,Unclassified,6,0,train,animal,deer
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00197_0a75d9845ef6.png,cifar10,cifar10::0a75d9845ef6f4e1,Unclassified,6,0,train,animal,deer
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/rotate_zoompil_constract_28.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/pil_constract_18.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/rotate_zoom37.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/vertical_flippil_sharpness_39.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/pil_sharpness_38.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_1.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/vertical_flippil_color_6.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/random_crop_pil_color_12.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/rotate_zoompil_constract_13.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/vertical_flip25.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/vertical_flippil_brightness_31.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/vertical_flippil_color_29.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/random_crop_pil_brightness_22_.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/vertical_flippil_constract_4.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/rotate_zoom35.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Aphids/vertical_flippil_brightness_18.jpg,cotton,cotton::Aphids,Aphids,0,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/random_crop_pil_brightness_23.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Healthy/vertical_flip34.jpg,cotton,cotton::Healthy,Healthy,3,1,train,,
/kaggle/working/exp02_robust_open_set/unknown_sources/cifar10/train/00601_243d40e29a84.png,cifar10,cifar10::243d40e29a846693,Unclassified,6,0,train,object_vehicle,ship
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/rotate_zoompil_constract_24.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Bacterial blight/rotate_zoompil_brightness_6.jpg,cotton,cotton::Bacterial blight,Bacterial blight,2,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/random_crop_pil_brightness_31.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/rotate_zoompil_sharpness_30.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_pil_sharpness_12.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_12.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/rotate_zoompil_sharpness_7.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/random_crop_pil_color_17.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/random_translation_32.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Powdery mildew/random_crop_pil_sharpness_5.jpg,cotton,cotton::Powdery mildew,Powdery mildew,4,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Army worm/vertical_flippil_constract_7.jpg,cotton,cotton::Army worm,Army worm,1,1,train,,
/kaggle/input/datasets/dhamur/cotton-plant-disease/Cotton leaves/40 Images/Target spot/pil_constract_31.jpg,cotton,cotton::Target spot,Target spot,5,1,train,,
